IP地址,國家
219.85.167.28,臺灣
27.242.2.37,臺灣
36.229.230.22,臺灣
1.163.154.56,臺灣
42.77.242.150,臺灣
104.232.37.219,美國
118.165.16.153,臺灣
36.232.214.169,臺灣
111.242.124.90,臺灣
114.136.243.79,臺灣
49.216.41.172,臺灣
220.143.32.74,臺灣
106.64.66.48,臺灣
220.129.74.129,臺灣
122.117.166.178,臺灣
1.34.243.138,臺灣
118.166.75.166,臺灣
218.172.37.173,臺灣
203.204.81.147,臺灣
61.64.144.213,臺灣
49.239.68.180,日本
101.8.37.95,臺灣
124.6.26.253,臺灣
220.129.9.173,臺灣
49.216.21.111,臺灣
218.32.44.219,臺灣
101.10.217.251,臺灣
174.243.50.110,美國
45.206.65.176,臺灣
111.240.78.234,臺灣
27.52.156.178,臺灣
114.137.57.113,臺灣
220.135.41.12,臺灣
61.64.144.213,臺灣
42.73.104.209,臺灣
49.217.177.178,臺灣
42.79.182.37,臺灣
101.10.63.75,臺灣
138.199.22.154,日本
94.156.205.196,臺灣
123.194.162.8,臺灣
49.159.216.136,臺灣
27.52.156.178,臺灣
58.115.51.247,臺灣
223.137.215.241,臺灣
61.228.209.142,臺灣
106.64.168.115,臺灣
36.231.75.71,臺灣
111.251.190.229,臺灣
94.156.205.49,臺灣
101.10.58.117,臺灣
150.116.91.59,臺灣
61.227.67.108,臺灣
210.66.90.145,臺灣
27.240.128.42,臺灣
37.19.205.170,日本
111.242.223.144,臺灣
49.216.255.177,臺灣
223.137.214.149,臺灣
36.228.75.213,臺灣
118.168.2.199,臺灣
106.72.191.1,日本
172.99.189.101,法國
106.105.44.109,臺灣
101.10.0.18,臺灣
42.73.104.209,臺灣
220.129.128.13,臺灣
106.64.19.76,臺灣
123.241.154.55,臺灣
118.170.35.235,臺灣
14.56.110.165,韓國
223.137.96.61,臺灣
61.231.42.11,臺灣
220.135.112.163,臺灣
123.110.76.230,臺灣
125.227.218.133,臺灣
101.9.99.157,臺灣
203.204.81.147,臺灣
123.194.162.12,臺灣
123.241.38.56,臺灣
42.74.36.144,臺灣
39.10.49.152,臺灣
49.216.48.237,臺灣
111.246.109.89,臺灣
223.141.161.244,臺灣
118.166.21.203,臺灣
223.139.222.245,臺灣
218.35.140.249,臺灣
101.8.139.124,臺灣
42.70.59.102,臺灣
42.79.219.237,臺灣
49.217.196.166,臺灣
49.216.164.129,臺灣
111.255.41.200,臺灣
114.39.116.231,臺灣
101.8.235.187,臺灣
101.12.207.82,臺灣
59.124.68.84,臺灣
42.78.47.10,臺灣
1.171.31.27,臺灣
219.70.204.53,臺灣
27.242.132.175,臺灣
49.216.41.37,臺灣
36.229.194.74,臺灣
61.228.101.22,臺灣
101.10.157.132,臺灣
36.234.234.127,臺灣
91.239.6.232,阿爾巴尼亞
39.9.92.193,臺灣
111.240.78.234,臺灣
42.72.110.67,臺灣
106.64.145.179,臺灣
89.46.62.126,美國
49.218.136.48,臺灣
223.140.27.49,臺灣
122.117.65.10,臺灣
42.73.104.209,臺灣
101.12.153.254,臺灣
114.41.205.131,臺灣
61.64.0.69,臺灣
114.136.221.68,臺灣
49.159.248.58,臺灣
36.224.53.54,臺灣
123.110.97.39,臺灣
123.194.150.127,臺灣
39.10.49.152,臺灣
114.45.2.3,臺灣
134.195.101.80,美國
123.110.158.234,臺灣
218.166.158.15,臺灣
1.160.37.108,臺灣
39.9.134.80,臺灣
223.141.161.244,臺灣
27.242.2.37,臺灣
114.39.25.219,臺灣
61.224.119.91,臺灣
61.223.244.151,臺灣
1.172.121.166,臺灣
118.171.160.90,臺灣
49.216.222.141,臺灣
27.51.105.50,臺灣
118.232.17.59,臺灣
49.216.40.69,臺灣
114.35.115.89,臺灣
1.173.225.198,臺灣
36.234.234.127,臺灣
114.140.113.83,臺灣
39.9.72.70,臺灣
114.36.117.225,臺灣
111.71.213.175,臺灣
39.12.88.64,臺灣
223.137.11.1,臺灣
49.215.233.29,臺灣
111.71.100.221,臺灣
101.10.226.53,臺灣
122.116.37.250,臺灣
27.242.32.247,臺灣
111.71.5.233,臺灣
61.224.122.150,臺灣
58.187.12.44,越南
114.40.39.96,臺灣
106.1.225.87,臺灣
223.140.234.134,臺灣
45.144.227.59,臺灣
103.125.235.22,日本
101.139.213.21,臺灣
114.41.29.244,臺灣
36.230.100.86,臺灣
118.170.220.18,臺灣
36.238.17.111,臺灣
114.47.65.111,臺灣
39.10.49.152,臺灣
58.187.12.44,越南
180.177.0.97,臺灣
36.224.27.202,臺灣
223.23.6.99,臺灣
39.14.40.129,臺灣
223.138.24.178,臺灣
223.137.11.1,臺灣
175.182.23.4,臺灣
220.143.28.223,臺灣
27.240.0.173,臺灣
114.26.75.153,臺灣
39.9.40.172,臺灣
116.59.181.86,臺灣
223.141.163.50,臺灣
114.44.18.218,臺灣
182.234.98.55,臺灣
220.129.128.13,臺灣
42.70.11.226,臺灣
27.53.225.21,臺灣
49.216.40.69,臺灣
180.74.69.190,馬來西亞
223.138.162.107,臺灣
1.160.224.16,臺灣
